Representation,Silhouette,ARI,NMI,Coherence,Stability
TF-IDF,0.03811284838683228,0.2553454883771495,0.2582638782910464,0.7604508420736898,0.9973
Sentence Embeddings,0.12144004553556442,0.19822205889466055,0.20663399603799823,0.7304140726457691,1.0
Word2Vec,0.25945037603378296,0.3314929828259587,0.3765910078908414,0.7279776510825233,0.9996
